Category: All categories

Week,DORITOS: (Worldwide)
2020-03-01,49
2020-03-08,42
2020-03-15,50
2020-03-22,52
2020-03-29,74
2020-04-05,66
2020-04-12,64
2020-04-19,67
2020-04-26,69
2020-05-03,60
2020-05-10,57
2020-05-17,59
2020-05-24,56
2020-05-31,53
2020-06-07,52
2020-06-14,59
2020-06-21,53
2020-06-28,57
2020-07-05,55
2020-07-12,53
2020-07-19,52
2020-07-26,52
2020-08-02,51
2020-08-09,52
2020-08-16,56
2020-08-23,52
2020-08-30,51
2020-09-06,51
2020-09-13,54
2020-09-20,51
2020-09-27,53
2020-10-04,55
2020-10-11,55
2020-10-18,57
2020-10-25,59
2020-11-01,54
2020-11-08,59
2020-11-15,63
2020-11-22,63
2020-11-29,62
2020-12-06,64
2020-12-13,59
2020-12-20,64
2020-12-27,68
2021-01-03,60
2021-01-10,65
2021-01-17,60
2021-01-24,58
2021-01-31,63
2021-02-07,83
2021-02-14,64
2021-02-21,60
2021-02-28,60
2021-03-07,52
2021-03-14,55
2021-03-21,58
2021-03-28,56
2021-04-04,52
2021-04-11,53
2021-04-18,52
2021-04-25,71
2021-05-02,100
2021-05-09,58
2021-05-16,59
2021-05-23,57
2021-05-30,53
2021-06-06,52
2021-06-13,52
2021-06-20,56
2021-06-27,52
2021-07-04,53
2021-07-11,51
2021-07-18,58
2021-07-25,59
2021-08-01,54
2021-08-08,52
2021-08-15,51
2021-08-22,52
2021-08-29,50
2021-09-05,49
2021-09-12,47
2021-09-19,45
2021-09-26,47
2021-10-03,48
2021-10-10,49
2021-10-17,51
2021-10-24,50
2021-10-31,56
2021-11-07,52
2021-11-14,51
2021-11-21,45
2021-11-28,48
2021-12-05,50
2021-12-12,49
2021-12-19,49
2021-12-26,53
2022-01-02,56
2022-01-09,57
2022-01-16,53
2022-01-23,57
2022-01-30,62
2022-02-06,61
2022-02-13,77
2022-02-20,53
2022-02-27,54
2022-03-06,53
2022-03-13,53
2022-03-20,53
2022-03-27,54
2022-04-03,57
2022-04-10,56
2022-04-17,56
2022-04-24,57
2022-05-01,57
2022-05-08,54
2022-05-15,55
2022-05-22,56
2022-05-29,54
2022-06-05,56
2022-06-12,56
2022-06-19,58
2022-06-26,60
2022-07-03,53
2022-07-10,54
2022-07-17,56
2022-07-24,56
2022-07-31,55
2022-08-07,57
2022-08-14,59
2022-08-21,60
2022-08-28,54
2022-09-04,55
2022-09-11,55
2022-09-18,56
2022-09-25,57
2022-10-02,58
2022-10-09,58
2022-10-16,60
2022-10-23,58
2022-10-30,57
2022-11-06,54
2022-11-13,54
2022-11-20,49
2022-11-27,52
2022-12-04,57
2022-12-11,54
2022-12-18,54
2022-12-25,58
2023-01-01,60
2023-01-08,63
2023-01-15,60
2023-01-22,64
2023-01-29,63
2023-02-05,65
2023-02-12,75
2023-02-19,61
2023-02-26,62
2023-03-05,64
2023-03-12,60
2023-03-19,57
2023-03-26,59
2023-04-02,61
2023-04-09,59
2023-04-16,59
2023-04-23,62
2023-04-30,65
2023-05-07,68
2023-05-14,70
2023-05-21,67
2023-05-28,66
2023-06-04,69
2023-06-11,66
2023-06-18,66
2023-06-25,66
2023-07-02,66
2023-07-09,57
2023-07-16,60
2023-07-23,58
2023-07-30,59
2023-08-06,58
2023-08-13,65
2023-08-20,55
2023-08-27,55
2023-09-03,54
2023-09-10,53
2023-09-17,55
2023-09-24,56
2023-10-01,55
2023-10-08,62
2023-10-15,61
2023-10-22,60
2023-10-29,65
2023-11-05,67
2023-11-12,64
2023-11-19,53
2023-11-26,55
2023-12-03,56
2023-12-10,74
2023-12-17,60
2023-12-24,58
2023-12-31,56
2024-01-07,55
2024-01-14,58
2024-01-21,61
2024-01-28,63
2024-02-04,64
2024-02-11,68
2024-02-18,60
2024-02-25,59
2024-03-03,81
2024-03-10,57
2024-03-17,53
2024-03-24,59
2024-03-31,51
2024-04-07,59
2024-04-14,56
2024-04-21,60
2024-04-28,63
2024-05-05,59
2024-05-12,57
2024-05-19,57
2024-05-26,59
2024-06-02,55
2024-06-09,54
2024-06-16,53
2024-06-23,51
2024-06-30,58
2024-07-07,58
2024-07-14,57
2024-07-21,62
2024-07-28,58
2024-08-04,55
2024-08-11,58
2024-08-18,61
2024-08-25,58
2024-09-01,62
2024-09-08,68
2024-09-15,61
2024-09-22,56
2024-09-29,59
2024-10-06,66
2024-10-13,64
2024-10-20,60
2024-10-27,61
2024-11-03,63
2024-11-10,64
2024-11-17,68
2024-11-24,61
2024-12-01,62
2024-12-08,62
2024-12-15,59
2024-12-22,56
2024-12-29,59
2025-01-05,58
2025-01-12,65
2025-01-19,61
2025-01-26,66
2025-02-02,70
2025-02-09,76
2025-02-16,65
2025-02-23,65
2025-03-02,65
