Category: All categories

Week,Disney+: (Worldwide)
2020-03-01,18
2020-03-08,19
2020-03-15,40
2020-03-22,100
2020-03-29,59
2020-04-05,57
2020-04-12,41
2020-04-19,30
2020-04-26,33
2020-05-03,29
2020-05-10,26
2020-05-17,23
2020-05-24,19
2020-05-31,19
2020-06-07,20
2020-06-14,19
2020-06-21,21
2020-06-28,42
2020-07-05,29
2020-07-12,21
2020-07-19,19
2020-07-26,19
2020-08-02,20
2020-08-09,17
2020-08-16,19
2020-08-23,19
2020-08-30,29
2020-09-06,25
2020-09-13,28
2020-09-20,24
2020-09-27,23
2020-10-04,21
2020-10-11,20
2020-10-18,20
2020-10-25,25
2020-11-01,30
2020-11-08,30
2020-11-15,78
2020-11-22,49
2020-11-29,46
2020-12-06,47
2020-12-13,44
2020-12-20,60
2020-12-27,60
2021-01-03,42
2021-01-10,40
2021-01-17,39
2021-01-24,38
2021-01-31,37
2021-02-07,36
2021-02-14,38
2021-02-21,48
2021-02-28,46
2021-03-07,40
2021-03-14,37
2021-03-21,40
2021-03-28,42
2021-04-04,38
2021-04-11,35
2021-04-18,36
2021-04-25,36
2021-05-02,32
2021-05-09,32
2021-05-16,31
2021-05-23,35
2021-05-30,39
2021-06-06,42
2021-06-13,42
2021-06-20,44
2021-06-27,48
2021-07-04,51
2021-07-11,48
2021-07-18,42
2021-07-25,36
2021-08-01,38
2021-08-08,34
2021-08-15,32
2021-08-22,32
2021-08-29,34
2021-09-05,30
2021-09-12,28
2021-09-19,28
2021-09-26,27
2021-10-03,29
2021-10-10,28
2021-10-17,26
2021-10-24,26
2021-10-31,28
2021-11-07,45
2021-11-14,43
2021-11-21,41
2021-11-28,36
2021-12-05,36
2021-12-12,42
2021-12-19,54
2021-12-26,62
2022-01-02,59
2022-01-09,57
2022-01-16,43
2022-01-23,43
2022-01-30,46
2022-02-06,43
2022-02-13,40
2022-02-20,38
2022-02-27,38
2022-03-06,40
2022-03-13,44
2022-03-20,41
2022-03-27,44
2022-04-03,45
2022-04-10,46
2022-04-17,42
2022-04-24,41
2022-05-01,45
2022-05-08,42
2022-05-15,42
2022-05-22,48
2022-05-29,48
2022-06-05,46
2022-06-12,65
2022-06-19,61
2022-06-26,51
2022-07-03,49
2022-07-10,47
2022-07-17,46
2022-07-24,47
2022-07-31,47
2022-08-07,47
2022-08-14,48
2022-08-21,44
2022-08-28,43
2022-09-04,56
2022-09-11,55
2022-09-18,50
2022-09-25,52
2022-10-02,50
2022-10-09,46
2022-10-16,41
2022-10-23,42
2022-10-30,41
2022-11-06,40
2022-11-13,48
2022-11-20,44
2022-11-27,41
2022-12-04,46
2022-12-11,48
2022-12-18,50
2022-12-25,57
2023-01-01,49
2023-01-08,44
2023-01-15,43
2023-01-22,42
2023-01-29,42
2023-02-05,41
2023-02-12,37
2023-02-19,38
2023-02-26,38
2023-03-05,37
2023-03-12,34
2023-03-19,34
2023-03-26,36
2023-04-02,38
2023-04-09,35
2023-04-16,35
2023-04-23,34
2023-04-30,34
2023-05-07,31
2023-05-14,32
2023-05-21,34
2023-05-28,36
2023-06-04,37
2023-06-11,36
2023-06-18,38
2023-06-25,36
2023-07-02,37
2023-07-09,36
2023-07-16,35
2023-07-23,33
2023-07-30,36
2023-08-06,33
2023-08-13,32
2023-08-20,33
2023-08-27,34
2023-09-03,37
2023-09-10,39
2023-09-17,38
2023-09-24,35
2023-10-01,35
2023-10-08,36
2023-10-15,34
2023-10-22,35
2023-10-29,35
2023-11-05,32
2023-11-12,34
2023-11-19,36
2023-11-26,30
2023-12-03,30
2023-12-10,31
2023-12-17,37
2023-12-24,42
2023-12-31,36
2024-01-07,30
2024-01-14,31
2024-01-21,29
2024-01-28,31
2024-02-04,31
2024-02-11,29
2024-02-18,29
2024-02-25,30
2024-03-03,29
2024-03-10,30
2024-03-17,28
2024-03-24,32
2024-03-31,29
2024-04-07,26
2024-04-14,26
2024-04-21,27
2024-04-28,27
2024-05-05,25
2024-05-12,25
2024-05-19,25
2024-05-26,24
2024-06-02,23
2024-06-09,26
2024-06-16,28
2024-06-23,30
2024-06-30,33
2024-07-07,31
2024-07-14,30
2024-07-21,32
2024-07-28,32
2024-08-04,33
2024-08-11,34
2024-08-18,33
2024-08-25,31
2024-09-01,30
2024-09-08,31
2024-09-15,35
2024-09-22,37
2024-09-29,35
2024-10-06,32
2024-10-13,31
2024-10-20,33
2024-10-27,35
2024-11-03,30
2024-11-10,34
2024-11-17,31
2024-11-24,34
2024-12-01,33
2024-12-08,30
2024-12-15,32
2024-12-22,37
2024-12-29,37
2025-01-05,31
2025-01-12,31
2025-01-19,29
2025-01-26,30
2025-02-02,29
2025-02-09,30
2025-02-16,30
2025-02-23,31
2025-03-02,36
