Category: All categories

Week,Apartments.com: (Worldwide)
2020-03-01,16
2020-03-08,15
2020-03-15,13
2020-03-22,14
2020-03-29,16
2020-04-05,17
2020-04-12,18
2020-04-19,17
2020-04-26,20
2020-05-03,22
2020-05-10,23
2020-05-17,23
2020-05-24,19
2020-05-31,19
2020-06-07,22
2020-06-14,23
2020-06-21,23
2020-06-28,20
2020-07-05,24
2020-07-12,26
2020-07-19,26
2020-07-26,26
2020-08-02,22
2020-08-09,22
2020-08-16,24
2020-08-23,22
2020-08-30,22
2020-09-06,19
2020-09-13,19
2020-09-20,20
2020-09-27,21
2020-10-04,25
2020-10-11,20
2020-10-18,17
2020-10-25,19
2020-11-01,18
2020-11-08,20
2020-11-15,17
2020-11-22,13
2020-11-29,16
2020-12-06,16
2020-12-13,15
2020-12-20,13
2020-12-27,18
2021-01-03,21
2021-01-10,20
2021-01-17,22
2021-01-24,22
2021-01-31,22
2021-02-07,26
2021-02-14,54
2021-02-21,49
2021-02-28,49
2021-03-07,40
2021-03-14,40
2021-03-21,45
2021-03-28,44
2021-04-04,47
2021-04-11,41
2021-04-18,39
2021-04-25,40
2021-05-02,34
2021-05-09,32
2021-05-16,28
2021-05-23,39
2021-05-30,38
2021-06-06,39
2021-06-13,50
2021-06-20,100
2021-06-27,87
2021-07-04,88
2021-07-11,95
2021-07-18,86
2021-07-25,69
2021-08-01,94
2021-08-08,99
2021-08-15,95
2021-08-22,91
2021-08-29,92
2021-09-05,91
2021-09-12,88
2021-09-19,46
2021-09-26,25
2021-10-03,24
2021-10-10,22
2021-10-17,21
2021-10-24,21
2021-10-31,23
2021-11-07,22
2021-11-14,23
2021-11-21,17
2021-11-28,22
2021-12-05,22
2021-12-12,19
2021-12-19,17
2021-12-26,20
2022-01-02,23
2022-01-09,21
2022-01-16,19
2022-01-23,21
2022-01-30,21
2022-02-06,21
2022-02-13,20
2022-02-20,28
2022-02-27,30
2022-03-06,28
2022-03-13,28
2022-03-20,24
2022-03-27,24
2022-04-03,28
2022-04-10,26
2022-04-17,26
2022-04-24,27
2022-05-01,27
2022-05-08,26
2022-05-15,26
2022-05-22,27
2022-05-29,26
2022-06-05,26
2022-06-12,22
2022-06-19,21
2022-06-26,22
2022-07-03,21
2022-07-10,22
2022-07-17,22
2022-07-24,19
2022-07-31,19
2022-08-07,20
2022-08-14,23
2022-08-21,22
2022-08-28,22
2022-09-04,18
2022-09-11,18
2022-09-18,18
2022-09-25,20
2022-10-02,29
2022-10-09,34
2022-10-16,32
2022-10-23,25
2022-10-30,18
2022-11-06,20
2022-11-13,35
2022-11-20,28
2022-11-27,20
2022-12-04,26
2022-12-11,28
2022-12-18,22
2022-12-25,36
2023-01-01,42
2023-01-08,16
2023-01-15,37
2023-01-22,42
2023-01-29,26
2023-02-05,16
2023-02-12,21
2023-02-19,18
2023-02-26,19
2023-03-05,17
2023-03-12,16
2023-03-19,15
2023-03-26,16
2023-04-02,15
2023-04-09,14
2023-04-16,12
2023-04-23,12
2023-04-30,13
2023-05-07,12
2023-05-14,10
2023-05-21,13
2023-05-28,13
2023-06-04,14
2023-06-11,12
2023-06-18,17
2023-06-25,18
2023-07-02,16
2023-07-09,18
2023-07-16,17
2023-07-23,15
2023-07-30,15
2023-08-06,16
2023-08-13,15
2023-08-20,14
2023-08-27,12
2023-09-03,10
2023-09-10,11
2023-09-17,11
2023-09-24,11
2023-10-01,10
2023-10-08,9
2023-10-15,10
2023-10-22,11
2023-10-29,11
2023-11-05,9
2023-11-12,9
2023-11-19,7
2023-11-26,11
2023-12-03,11
2023-12-10,10
2023-12-17,9
2023-12-24,9
2023-12-31,11
2024-01-07,11
2024-01-14,10
2024-01-21,16
2024-01-28,14
2024-02-04,13
2024-02-11,19
2024-02-18,16
2024-02-25,16
2024-03-03,14
2024-03-10,14
2024-03-17,15
2024-03-24,15
2024-03-31,15
2024-04-07,15
2024-04-14,14
2024-04-21,14
2024-04-28,16
2024-05-05,14
2024-05-12,15
2024-05-19,14
2024-05-26,13
2024-06-02,13
2024-06-09,11
2024-06-16,14
2024-06-23,12
2024-06-30,15
2024-07-07,15
2024-07-14,14
2024-07-21,13
2024-07-28,15
2024-08-04,13
2024-08-11,13
2024-08-18,13
2024-08-25,12
2024-09-01,13
2024-09-08,11
2024-09-15,11
2024-09-22,10
2024-09-29,11
2024-10-06,11
2024-10-13,9
2024-10-20,9
2024-10-27,11
2024-11-03,9
2024-11-10,9
2024-11-17,10
2024-11-24,8
2024-12-01,10
2024-12-08,9
2024-12-15,9
2024-12-22,9
2024-12-29,12
2025-01-05,13
2025-01-12,14
2025-01-19,13
2025-01-26,14
2025-02-02,14
2025-02-09,11
2025-02-16,13
2025-02-23,14
2025-03-02,15
