Category: All categories

Week,Squarespace: (Worldwide)
2020-03-01,59
2020-03-08,56
2020-03-15,61
2020-03-22,67
2020-03-29,72
2020-04-05,70
2020-04-12,74
2020-04-19,73
2020-04-26,78
2020-05-03,72
2020-05-10,73
2020-05-17,76
2020-05-24,66
2020-05-31,66
2020-06-07,70
2020-06-14,67
2020-06-21,66
2020-06-28,63
2020-07-05,66
2020-07-12,68
2020-07-19,67
2020-07-26,68
2020-08-02,65
2020-08-09,64
2020-08-16,68
2020-08-23,61
2020-08-30,62
2020-09-06,61
2020-09-13,62
2020-09-20,59
2020-09-27,53
2020-10-04,52
2020-10-11,44
2020-10-18,41
2020-10-25,44
2020-11-01,39
2020-11-08,43
2020-11-15,43
2020-11-22,40
2020-11-29,44
2020-12-06,45
2020-12-13,37
2020-12-20,26
2020-12-27,35
2021-01-03,45
2021-01-10,42
2021-01-17,44
2021-01-24,44
2021-01-31,44
2021-02-07,46
2021-02-14,40
2021-02-21,43
2021-02-28,41
2021-03-07,40
2021-03-14,39
2021-03-21,38
2021-03-28,40
2021-04-04,39
2021-04-11,41
2021-04-18,42
2021-04-25,40
2021-05-02,38
2021-05-09,39
2021-05-16,48
2021-05-23,35
2021-05-30,36
2021-06-06,40
2021-06-13,41
2021-06-20,34
2021-06-27,36
2021-07-04,35
2021-07-11,39
2021-07-18,35
2021-07-25,36
2021-08-01,33
2021-08-08,37
2021-08-15,34
2021-08-22,33
2021-08-29,34
2021-09-05,32
2021-09-12,34
2021-09-19,34
2021-09-26,38
2021-10-03,36
2021-10-10,34
2021-10-17,37
2021-10-24,37
2021-10-31,34
2021-11-07,37
2021-11-14,37
2021-11-21,34
2021-11-28,37
2021-12-05,34
2021-12-12,34
2021-12-19,30
2021-12-26,32
2022-01-02,56
2022-01-09,57
2022-01-16,52
2022-01-23,58
2022-01-30,61
2022-02-06,62
2022-02-13,64
2022-02-20,55
2022-02-27,56
2022-03-06,57
2022-03-13,54
2022-03-20,55
2022-03-27,60
2022-04-03,61
2022-04-10,58
2022-04-17,60
2022-04-24,60
2022-05-01,57
2022-05-08,57
2022-05-15,54
2022-05-22,56
2022-05-29,50
2022-06-05,54
2022-06-12,54
2022-06-19,54
2022-06-26,53
2022-07-03,54
2022-07-10,54
2022-07-17,54
2022-07-24,54
2022-07-31,56
2022-08-07,58
2022-08-14,58
2022-08-21,57
2022-08-28,55
2022-09-04,54
2022-09-11,56
2022-09-18,57
2022-09-25,55
2022-10-02,55
2022-10-09,57
2022-10-16,54
2022-10-23,55
2022-10-30,53
2022-11-06,56
2022-11-13,60
2022-11-20,47
2022-11-27,56
2022-12-04,52
2022-12-11,53
2022-12-18,45
2022-12-25,40
2023-01-01,61
2023-01-08,65
2023-01-15,65
2023-01-22,65
2023-01-29,71
2023-02-05,65
2023-02-12,66
2023-02-19,63
2023-02-26,66
2023-03-05,62
2023-03-12,64
2023-03-19,62
2023-03-26,60
2023-04-02,58
2023-04-09,60
2023-04-16,66
2023-04-23,58
2023-04-30,60
2023-05-07,58
2023-05-14,55
2023-05-21,57
2023-05-28,56
2023-06-04,56
2023-06-11,59
2023-06-18,58
2023-06-25,61
2023-07-02,54
2023-07-09,60
2023-07-16,56
2023-07-23,56
2023-07-30,59
2023-08-06,56
2023-08-13,63
2023-08-20,57
2023-08-27,57
2023-09-03,59
2023-09-10,60
2023-09-17,63
2023-09-24,60
2023-10-01,62
2023-10-08,62
2023-10-15,62
2023-10-22,59
2023-10-29,62
2023-11-05,62
2023-11-12,60
2023-11-19,54
2023-11-26,62
2023-12-03,61
2023-12-10,59
2023-12-17,52
2023-12-24,42
2023-12-31,59
2024-01-07,69
2024-01-14,73
2024-01-21,73
2024-01-28,78
2024-02-04,80
2024-02-11,77
2024-02-18,78
2024-02-25,75
2024-03-03,77
2024-03-10,73
2024-03-17,74
2024-03-24,76
2024-03-31,73
2024-04-07,72
2024-04-14,73
2024-04-21,71
2024-04-28,74
2024-05-05,70
2024-05-12,73
2024-05-19,72
2024-05-26,71
2024-06-02,75
2024-06-09,72
2024-06-16,71
2024-06-23,68
2024-06-30,65
2024-07-07,72
2024-07-14,74
2024-07-21,76
2024-07-28,74
2024-08-04,72
2024-08-11,77
2024-08-18,72
2024-08-25,75
2024-09-01,78
2024-09-08,80
2024-09-15,76
2024-09-22,77
2024-09-29,76
2024-10-06,73
2024-10-13,74
2024-10-20,77
2024-10-27,73
2024-11-03,72
2024-11-10,80
2024-11-17,83
2024-11-24,74
2024-12-01,79
2024-12-08,77
2024-12-15,71
2024-12-22,52
2024-12-29,70
2025-01-05,88
2025-01-12,87
2025-01-19,88
2025-01-26,92
2025-02-02,94
2025-02-09,100
2025-02-16,91
2025-02-23,95
2025-03-02,91
