Category: All categories

Week,DoorDash: (Worldwide)
2020-03-01,38
2020-03-08,36
2020-03-15,57
2020-03-22,59
2020-03-29,68
2020-04-05,63
2020-04-12,80
2020-04-19,71
2020-04-26,67
2020-05-03,69
2020-05-10,64
2020-05-17,59
2020-05-24,50
2020-05-31,50
2020-06-07,49
2020-06-14,49
2020-06-21,51
2020-06-28,52
2020-07-05,51
2020-07-12,59
2020-07-19,58
2020-07-26,60
2020-08-02,66
2020-08-09,57
2020-08-16,60
2020-08-23,59
2020-08-30,57
2020-09-06,54
2020-09-13,57
2020-09-20,56
2020-09-27,56
2020-10-04,52
2020-10-11,51
2020-10-18,52
2020-10-25,54
2020-11-01,50
2020-11-08,55
2020-11-15,58
2020-11-22,58
2020-11-29,60
2020-12-06,100
2020-12-13,72
2020-12-20,59
2020-12-27,70
2021-01-03,66
2021-01-10,64
2021-01-17,62
2021-01-24,64
2021-01-31,65
2021-02-07,66
2021-02-14,70
2021-02-21,63
2021-02-28,61
2021-03-07,58
2021-03-14,69
2021-03-21,65
2021-03-28,66
2021-04-04,62
2021-04-11,62
2021-04-18,62
2021-04-25,60
2021-05-02,61
2021-05-09,64
2021-05-16,60
2021-05-23,60
2021-05-30,57
2021-06-06,58
2021-06-13,58
2021-06-20,65
2021-06-27,59
2021-07-04,56
2021-07-11,59
2021-07-18,61
2021-07-25,60
2021-08-01,58
2021-08-08,60
2021-08-15,57
2021-08-22,59
2021-08-29,61
2021-09-05,56
2021-09-12,58
2021-09-19,56
2021-09-26,57
2021-10-03,56
2021-10-10,53
2021-10-17,57
2021-10-24,54
2021-10-31,57
2021-11-07,58
2021-11-14,57
2021-11-21,51
2021-11-28,58
2021-12-05,60
2021-12-12,68
2021-12-19,65
2021-12-26,76
2022-01-02,72
2022-01-09,67
2022-01-16,62
2022-01-23,64
2022-01-30,66
2022-02-06,61
2022-02-13,60
2022-02-20,60
2022-02-27,62
2022-03-06,57
2022-03-13,62
2022-03-20,59
2022-03-27,55
2022-04-03,62
2022-04-10,61
2022-04-17,56
2022-04-24,56
2022-05-01,58
2022-05-08,61
2022-05-15,56
2022-05-22,58
2022-05-29,55
2022-06-05,55
2022-06-12,63
2022-06-19,61
2022-06-26,56
2022-07-03,67
2022-07-10,64
2022-07-17,56
2022-07-24,58
2022-07-31,57
2022-08-07,56
2022-08-14,55
2022-08-21,54
2022-08-28,50
2022-09-04,51
2022-09-11,53
2022-09-18,53
2022-09-25,50
2022-10-02,57
2022-10-09,51
2022-10-16,49
2022-10-23,54
2022-10-30,55
2022-11-06,53
2022-11-13,58
2022-11-20,44
2022-11-27,59
2022-12-04,57
2022-12-11,61
2022-12-18,58
2022-12-25,59
2023-01-01,61
2023-01-08,61
2023-01-15,58
2023-01-22,63
2023-01-29,66
2023-02-05,57
2023-02-12,59
2023-02-19,61
2023-02-26,62
2023-03-05,56
2023-03-12,57
2023-03-19,61
2023-03-26,64
2023-04-02,57
2023-04-09,52
2023-04-16,55
2023-04-23,55
2023-04-30,55
2023-05-07,52
2023-05-14,50
2023-05-21,52
2023-05-28,54
2023-06-04,57
2023-06-11,56
2023-06-18,55
2023-06-25,58
2023-07-02,56
2023-07-09,56
2023-07-16,53
2023-07-23,53
2023-07-30,55
2023-08-06,51
2023-08-13,50
2023-08-20,54
2023-08-27,55
2023-09-03,51
2023-09-10,49
2023-09-17,50
2023-09-24,53
2023-10-01,49
2023-10-08,50
2023-10-15,51
2023-10-22,52
2023-10-29,54
2023-11-05,52
2023-11-12,55
2023-11-19,47
2023-11-26,56
2023-12-03,56
2023-12-10,54
2023-12-17,56
2023-12-24,55
2023-12-31,58
2024-01-07,58
2024-01-14,59
2024-01-21,61
2024-01-28,62
2024-02-04,61
2024-02-11,90
2024-02-18,61
2024-02-25,61
2024-03-03,62
2024-03-10,57
2024-03-17,57
2024-03-24,61
2024-03-31,62
2024-04-07,59
2024-04-14,56
2024-04-21,57
2024-04-28,60
2024-05-05,55
2024-05-12,53
2024-05-19,56
2024-05-26,54
2024-06-02,54
2024-06-09,52
2024-06-16,55
2024-06-23,54
2024-06-30,55
2024-07-07,57
2024-07-14,58
2024-07-21,58
2024-07-28,59
2024-08-04,56
2024-08-11,58
2024-08-18,55
2024-08-25,57
2024-09-01,52
2024-09-08,55
2024-09-15,56
2024-09-22,57
2024-09-29,56
2024-10-06,57
2024-10-13,56
2024-10-20,56
2024-10-27,59
2024-11-03,56
2024-11-10,57
2024-11-17,58
2024-11-24,52
2024-12-01,60
2024-12-08,60
2024-12-15,64
2024-12-22,63
2024-12-29,68
2025-01-05,64
2025-01-12,69
2025-01-19,69
2025-01-26,73
2025-02-02,65
2025-02-09,70
2025-02-16,67
2025-02-23,69
2025-03-02,68
