Category: All categories

Week,Booking.com: (Worldwide)
2020-03-01,62
2020-03-08,53
2020-03-15,31
2020-03-22,19
2020-03-29,17
2020-04-05,16
2020-04-12,17
2020-04-19,17
2020-04-26,19
2020-05-03,21
2020-05-10,26
2020-05-17,33
2020-05-24,39
2020-05-31,47
2020-06-07,51
2020-06-14,61
2020-06-21,69
2020-06-28,78
2020-07-05,82
2020-07-12,83
2020-07-19,88
2020-07-26,92
2020-08-02,89
2020-08-09,85
2020-08-16,75
2020-08-23,63
2020-08-30,62
2020-09-06,56
2020-09-13,50
2020-09-20,46
2020-09-27,45
2020-10-04,43
2020-10-11,37
2020-10-18,36
2020-10-25,30
2020-11-01,25
2020-11-08,28
2020-11-15,27
2020-11-22,29
2020-11-29,29
2020-12-06,31
2020-12-13,32
2020-12-20,30
2020-12-27,36
2021-01-03,35
2021-01-10,32
2021-01-17,34
2021-01-24,33
2021-01-31,34
2021-02-07,36
2021-02-14,37
2021-02-21,37
2021-02-28,36
2021-03-07,35
2021-03-14,36
2021-03-21,36
2021-03-28,36
2021-04-04,38
2021-04-11,37
2021-04-18,40
2021-04-25,42
2021-05-02,49
2021-05-09,57
2021-05-16,61
2021-05-23,67
2021-05-30,72
2021-06-06,75
2021-06-13,79
2021-06-20,81
2021-06-27,86
2021-07-04,91
2021-07-11,91
2021-07-18,93
2021-07-25,91
2021-08-01,90
2021-08-08,85
2021-08-15,83
2021-08-22,70
2021-08-29,66
2021-09-05,63
2021-09-12,58
2021-09-19,54
2021-09-26,56
2021-10-03,55
2021-10-10,54
2021-10-17,54
2021-10-24,50
2021-10-31,51
2021-11-07,47
2021-11-14,46
2021-11-21,45
2021-11-28,43
2021-12-05,45
2021-12-12,44
2021-12-19,41
2021-12-26,54
2022-01-02,62
2022-01-09,58
2022-01-16,55
2022-01-23,59
2022-01-30,69
2022-02-06,67
2022-02-13,74
2022-02-20,68
2022-02-27,63
2022-03-06,60
2022-03-13,64
2022-03-20,66
2022-03-27,64
2022-04-03,71
2022-04-10,72
2022-04-17,72
2022-04-24,76
2022-05-01,73
2022-05-08,82
2022-05-15,88
2022-05-22,83
2022-05-29,81
2022-06-05,85
2022-06-12,85
2022-06-19,90
2022-06-26,90
2022-07-03,93
2022-07-10,98
2022-07-17,99
2022-07-24,99
2022-07-31,100
2022-08-07,98
2022-08-14,86
2022-08-21,78
2022-08-28,70
2022-09-04,68
2022-09-11,67
2022-09-18,62
2022-09-25,60
2022-10-02,62
2022-10-09,59
2022-10-16,60
2022-10-23,60
2022-10-30,57
2022-11-06,56
2022-11-13,56
2022-11-20,52
2022-11-27,52
2022-12-04,52
2022-12-11,52
2022-12-18,51
2022-12-25,69
2023-01-01,75
2023-01-08,73
2023-01-15,69
2023-01-22,71
2023-01-29,69
2023-02-05,66
2023-02-12,62
2023-02-19,69
2023-02-26,65
2023-03-05,65
2023-03-12,65
2023-03-19,64
2023-03-26,64
2023-04-02,67
2023-04-09,65
2023-04-16,70
2023-04-23,71
2023-04-30,69
2023-05-07,66
2023-05-14,73
2023-05-21,75
2023-05-28,72
2023-06-04,79
2023-06-11,79
2023-06-18,81
2023-06-25,88
2023-07-02,90
2023-07-09,91
2023-07-16,89
2023-07-23,86
2023-07-30,86
2023-08-06,87
2023-08-13,78
2023-08-20,74
2023-08-27,66
2023-09-03,63
2023-09-10,58
2023-09-17,59
2023-09-24,57
2023-10-01,55
2023-10-08,55
2023-10-15,51
2023-10-22,49
2023-10-29,47
2023-11-05,48
2023-11-12,49
2023-11-19,50
2023-11-26,49
2023-12-03,49
2023-12-10,47
2023-12-17,47
2023-12-24,59
2023-12-31,65
2024-01-07,60
2024-01-14,62
2024-01-21,61
2024-01-28,59
2024-02-04,58
2024-02-11,59
2024-02-18,59
2024-02-25,58
2024-03-03,56
2024-03-10,57
2024-03-17,56
2024-03-24,58
2024-03-31,57
2024-04-07,56
2024-04-14,58
2024-04-21,58
2024-04-28,62
2024-05-05,59
2024-05-12,57
2024-05-19,60
2024-05-26,61
2024-06-02,59
2024-06-09,66
2024-06-16,66
2024-06-23,67
2024-06-30,73
2024-07-07,77
2024-07-14,79
2024-07-21,80
2024-07-28,78
2024-08-04,76
2024-08-11,75
2024-08-18,68
2024-08-25,61
2024-09-01,61
2024-09-08,56
2024-09-15,54
2024-09-22,52
2024-09-29,51
2024-10-06,52
2024-10-13,53
2024-10-20,50
2024-10-27,51
2024-11-03,47
2024-11-10,49
2024-11-17,49
2024-11-24,50
2024-12-01,49
2024-12-08,47
2024-12-15,46
2024-12-22,54
2024-12-29,61
2025-01-05,63
2025-01-12,61
2025-01-19,60
2025-01-26,58
2025-02-02,58
2025-02-09,56
2025-02-16,56
2025-02-23,55
2025-03-02,59
